drain TotalCurrent(IdVg_VdLin_n5_des) X,drain TotalCurrent(IdVg_VdLin_n5_des) Y,drain TotalCurrent(IdVg_VdLin_n17_des) X,drain TotalCurrent(IdVg_VdLin_n17_des) Y,drain TotalCurrent(IdVg_VdLin_n21_des) X,drain TotalCurrent(IdVg_VdLin_n21_des) Y,drain TotalCurrent(IdVg_VdLin_n25_des) X,drain TotalCurrent(IdVg_VdLin_n25_des) Y,drain TotalCurrent(IdVg_VdLin_n29_des) X,drain TotalCurrent(IdVg_VdLin_n29_des) Y,drain TotalCurrent(IdVg_VdLin_n35_des) X,drain TotalCurrent(IdVg_VdLin_n35_des) Y,drain TotalCurrent(IdVg_VdLin_n36_des) X,drain TotalCurrent(IdVg_VdLin_n36_des) Y,drain TotalCurrent(IdVg_VdLin_n37_des) X,drain TotalCurrent(IdVg_VdLin_n37_des) Y,drain TotalCurrent(IdVg_VdLin_n38_des) X,drain TotalCurrent(IdVg_VdLin_n38_des) Y,drain TotalCurrent(IdVg_VdLin_n39_des) X,drain TotalCurrent(IdVg_VdLin_n39_des) Y,drain TotalCurrent(IdVg_VdLin_n76_des) X,drain TotalCurrent(IdVg_VdLin_n76_des) Y,drain TotalCurrent(IdVg_VdLin_n77_des) X,drain TotalCurrent(IdVg_VdLin_n77_des) Y,drain TotalCurrent(IdVg_VdLin_n78_des) X,drain TotalCurrent(IdVg_VdLin_n78_des) Y,drain TotalCurrent(IdVg_VdLin_n79_des) X,drain TotalCurrent(IdVg_VdLin_n79_des) Y,drain TotalCurrent(IdVg_VdLin_n80_des) X,drain TotalCurrent(IdVg_VdLin_n80_des) Y,drain TotalCurrent(IdVg_VdLin_n83_des) X,drain TotalCurrent(IdVg_VdLin_n83_des) Y,drain TotalCurrent(IdVg_VdLin_n84_des) X,drain TotalCurrent(IdVg_VdLin_n84_des) Y,drain TotalCurrent(IdVg_VdLin_n85_des) X,drain TotalCurrent(IdVg_VdLin_n85_des) Y,drain TotalCurrent(IdVg_VdLin_n86_des) X,drain TotalCurrent(IdVg_VdLin_n86_des) Y,drain TotalCurrent(IdVg_VdLin_n87_des) X,drain TotalCurrent(IdVg_VdLin_n87_des) Y
-0.6,3.0010574e-13,-0.9,3.8352659e-14,-1.2,2.5308623e-14,-1.5,1.7065186e-14,-1.8,1.3788633e-14,-0.6,3.0067919e-13,-0.9,3.8488342e-14,-1.2,2.5467175e-14,-1.5,1.6838104e-14,-1.8,1.444605e-14,-0.6,3.3884456e-13,-0.9,2.8876315e-14,-1.2,1.1887736e-14,-1.5,5.8003221e-15,-1.8,8.1556714e-15,-0.6,3.4142866e-13,-0.9,2.6164042e-14,-1.2,9.905834e-15,-1.5,6.5690454e-15,-1.8,7.3382258e-15
-0.58,3.499927e-13,-0.87,3.7318077e-14,-1.16,2.703634e-14,-1.45,1.6862292e-14,-1.74,1.3865547e-14,-0.58,3.4906326e-13,-0.87,3.8185792e-14,-1.16,2.7285264e-14,-1.45,1.7691689e-14,-1.74,1.451798e-14,-0.58,3.785011e-13,-0.87,3.3947354e-14,-1.16,1.1110872e-14,-1.45,7.4726777e-15,-1.74,8.1576446e-15,-0.58,3.7860432e-13,-0.87,3.342658e-14,-1.16,1.0846641e-14,-1.45,9.6198942e-15,-1.74,6.0191287e-15
-0.56,4.0104475e-13,-0.84,3.7931171e-14,-1.12,2.8375166e-14,-1.4,1.9116819e-14,-1.68,1.4385579e-14,-0.56,4.0190763e-13,-0.84,3.8599674e-14,-1.12,2.90227e-14,-1.4,1.962671e-14,-1.68,1.4154963e-14,-0.56,4.1607417e-13,-0.84,3.7848285e-14,-1.12,1.1201544e-14,-1.4,9.109663e-15,-1.68,8.1834332e-15,-0.56,4.1712469e-13,-0.84,3.7483365e-14,-1.12,1.0894465e-14,-1.4,8.7685842e-15,-1.68,7.8442997e-15
-0.54,4.5058803e-13,-0.81,4.2065776e-14,-1.08,3.1575366e-14,-1.35,1.9843591e-14,-1.62,1.4530185e-14,-0.54,4.5068757e-13,-0.81,4.2965041e-14,-1.08,3.1768531e-14,-1.35,1.9495418e-14,-1.62,1.5369117e-14,-0.54,4.4887583e-13,-0.81,4.4636284e-14,-1.08,1.3275414e-14,-1.35,8.3448407e-15,-1.62,7.344019e-15,-0.54,4.5029502e-13,-0.81,4.4293083e-14,-1.08,1.1862332e-14,-1.35,8.8186545e-15,-1.62,8.6638798e-15
-0.52,4.9109301e-13,-0.78,5.1854461e-14,-1.04,3.4117073e-14,-1.3,2.1023506e-14,-1.56,1.5966455e-14,-0.52,4.9035038e-13,-0.78,5.1595021e-14,-1.04,3.4091595e-14,-1.3,2.0007094e-14,-1.56,1.5771096e-14,-0.52,4.733743e-13,-0.78,5.3005882e-14,-1.04,1.218907e-14,-1.3,7.5523938e-15,-1.56,7.3700747e-15,-0.52,4.7532474e-13,-0.78,5.4730597e-14,-1.04,1.1073261e-14,-1.3,7.0858167e-15,-1.56,7.4512326e-15
-0.5,5.1769164e-13,-0.75,6.948242e-14,-1,3.6408386e-14,-1.25,2.2253913e-14,-1.5,1.5674441e-14,-0.5,5.1713704e-13,-0.75,6.938576e-14,-1,3.595314e-14,-1.25,2.2122456e-14,-1.5,1.7504002e-14,-0.5,4.8752641e-13,-0.75,6.3254751e-14,-1,1.4329658e-14,-1.25,9.2326058e-15,-1.5,5.7979471e-15,-0.5,4.8670231e-13,-0.75,6.5839041e-14,-1,1.2902258e-14,-1.25,8.9453545e-15,-1.5,6.583472e-15
-0.48,5.2190922e-13,-0.72,9.0970697e-14,-0.96,3.7748006e-14,-1.2,2.4692178e-14,-1.44,1.7612613e-14,-0.48,5.227429e-13,-0.72,9.3241327e-14,-0.96,3.7715175e-14,-1.2,2.4629103e-14,-1.44,1.7716613e-14,-0.48,4.8143106e-13,-0.72,7.9725219e-14,-0.96,1.4138313e-14,-1.2,9.2640128e-15,-1.44,9.0496031e-15,-0.48,4.8158223e-13,-0.72,7.7279238e-14,-0.96,1.4397799e-14,-1.2,9.3943927e-15,-1.44,8.7240632e-15
-0.46,4.9339577e-13,-0.69,1.1918274e-13,-0.92,3.8410022e-14,-1.15,2.6547029e-14,-1.38,1.8721785e-14,-0.46,4.9334457e-13,-0.69,1.1933886e-13,-0.92,3.8985449e-14,-1.15,2.6968462e-14,-1.38,1.9807356e-14,-0.46,4.4114496e-13,-0.69,9.3655631e-14,-0.92,1.6007355e-14,-1.15,1.0205834e-14,-1.38,9.090835e-15,-0.46,4.3910893e-13,-0.69,9.3316364e-14,-0.92,1.5446138e-14,-1.15,9.8734537e-15,-1.38,9.6412703e-15
-0.44,4.1656121e-13,-0.66,1.4796278e-13,-0.88,3.8338932e-14,-1.1,2.8937547e-14,-1.32,2.0430879e-14,-0.44,4.1671768e-13,-0.66,1.4749891e-13,-0.88,3.8996107e-14,-1.1,2.9982107e-14,-1.32,2.055694e-14,-0.44,3.6277697e-13,-0.66,1.0950735e-13,-0.88,1.710851e-14,-1.1,1.1928602e-14,-1.32,8.3563375e-15,-0.44,3.6247683e-13,-0.66,1.0933719e-13,-0.88,1.6532481e-14,-1.1,1.0819961e-14,-1.32,7.9546337e-15
-0.42,3.1560076e-13,-0.63,1.7400032e-13,-0.84,3.7310683e-14,-1.05,3.2696731e-14,-1.26,2.2181445e-14,-0.42,3.1465175e-13,-0.63,1.7418761e-13,-0.84,3.8386429e-14,-1.05,3.2410421e-14,-1.26,2.2532949e-14,-0.42,2.7141543e-13,-0.63,1.1941491e-13,-0.84,1.9525194e-14,-1.05,1.029198e-14,-1.26,7.5514072e-15,-0.42,2.7094982e-13,-0.63,1.1924419e-13,-0.84,2.1200646e-14,-1.05,1.0896698e-14,-1.26,8.9011628e-15
